"Postcode","Latitude","Longitude","District","Ward","Roads","Population","Households"
"CF14 9JG","51.544461","-3.195401","Cardiff","Lisvane and Thornhill","Clos Y Dryw,Heol Llinos","62","25"
"CF14 9JH","51.545488","-3.193437","Cardiff","Lisvane and Thornhill","Clos Y Gwalch","41","16"
"CF14 9JJ","51.544774","-3.192063","Cardiff","Lisvane and Thornhill","Clos Y Fran","35","13"
"CF14 9JL","51.544254","-3.196361","Cardiff","Lisvane and Thornhill","Clos Y Hebog,Heol Llinos","80","26"
"CF14 9LA","51.543116","-3.193260","Cardiff","Lisvane and Thornhill","Heol Hir","78","25"
"CF14 9LB","51.538271","-3.190437","Cardiff","Lisvane and Thornhill","Heol Hir","14","10"
"CF14 9UA","51.542925","-3.208497","Cardiff","Rhiwbina","Capel Gwilym Road,Thornhill Road,Wenallt Road","56","18"
"CF14 9UB","51.548162","-3.204612","Cardiff","Lisvane and Thornhill","Capel Gwilym Road,Thornhill Road","19","6"
"CF14 9UD","51.550146","-3.195203","Cardiff","Lisvane and Thornhill","Cherry Orchard Road,Heol Hir","21","7"
"CF14 9UE","51.540699","-3.206347","Cardiff","Lisvane and Thornhill","Dan Y Mynydd","15","5"
"CF14 9UG","51.540805","-3.208254","Cardiff","Rhiwbina","Bassetts Field,M4","136","42"
"CF14 9XU","51.522155","-3.194296","Cardiff","Llanishen","Cheviot Close","",""
"CF15 5BF","51.535913","-3.261183","Cardiff","Pentyrch and St Fagans","Main Road","",""
"CF15 5DT","51.535913","-3.261183","Cardiff","Pentyrch and St Fagans","Main Road","",""
"CF15 5DX","51.535913","-3.261183","Cardiff","Pentyrch and St Fagans","Main Road","",""
"CF15 5DZ","51.535913","-3.261183","Cardiff","Pentyrch and St Fagans","Main Road","",""
"CF15 5EB","51.535913","-3.261183","Cardiff","Pentyrch and St Fagans","B4262,Main Road","",""
"CF15 5EH","51.535913","-3.261183","Cardiff","Pentyrch and St Fagans","Main Road","",""
"CF15 5EJ","51.535913","-3.261183","Cardiff","Pentyrch and St Fagans","Main Road","",""
"CF15 7AB","51.528911","-3.237333","Cardiff","Whitchurch and Tongwynlais","Cae Gwyrdd,Oldfield Road","",""
"CF15 7AD","51.528936","-3.241745","Cardiff","Whitchurch and Tongwynlais","Merthyr Road","",""
"CF15 7HU","51.529241","-3.246885","Cardiff","Whitchurch and Tongwynlais","Cwm Gwynlais","61","25"
"CF15 7HW","51.528773","-3.246945","Cardiff","Whitchurch and Tongwynlais","A4054,Llwyn Mallt","67","23"
"CF15 7HX","51.528756","-3.245214","Cardiff","Whitchurch and Tongwynlais","A4054,M4,Merthyr Road,Pwllhelyg","23","12"
"CF15 7JL","51.536734","-3.247523","Cardiff","Whitchurch and Tongwynlais","Castle Road,Maes Y Draenog","52","20"
"CF15 7JP","51.532922","-3.250792","Cardiff","Whitchurch and Tongwynlais","Mill Road","76","34"
"CF15 7JQ","51.535508","-3.249479","Cardiff","Whitchurch and Tongwynlais","Castell Coch View,Castle Road,Merthyr Road,Mill Road","80","30"
"CF15 7JR","51.538783","-3.247622","Cardiff","Whitchurch and Tongwynlais","Heol-Y-Fforest","4","2"
"CF15 7JS","51.535858","-3.254636","Cardiff","Whitchurch and Tongwynlais","Castle Road","",""
"CF15 7JT","51.535199","-3.247264","Cardiff","Whitchurch and Tongwynlais","Birch Court,Catherine Drive,Larch Court","102","39"
"CF15 7JU","51.536125","-3.247261","Cardiff","Whitchurch and Tongwynlais","Beech Court","36","13"
"CF15 7JW","51.534265","-3.247123","Cardiff","Whitchurch and Tongwynlais","Catherine Drive,Larch Court","19","8"
"CF15 7JX","51.534400","-3.248021","Cardiff","Whitchurch and Tongwynlais","Pine Court","68","24"
"CF15 7JY","51.534677","-3.248115","Cardiff","Whitchurch and Tongwynlais","Birch Court","62","21"
"CF15 7JZ","51.535188","-3.248302","Cardiff","Whitchurch and Tongwynlais","Oak Court","41","17"
"CF15 7LA","51.533492","-3.249654","Cardiff","Whitchurch and Tongwynlais","Castell Coch View","122","46"
"CF15 7LB","51.531974","-3.250377","Cardiff","Whitchurch and Tongwynlais","St Michael's Close","29","10"
"CF15 7LE","51.530378","-3.248214","Cardiff","Whitchurch and Tongwynlais","Merthyr Road","",""
"CF15 7LF","51.531369","-3.250634","Cardiff","Whitchurch and Tongwynlais","Cae Lewis,Iron Bridge Road,Merthyr Road,St Michael's Close","39","18"
"CF15 7LG","51.532195","-3.252387","Cardiff","Whitchurch and Tongwynlais","Market Street,Merthyr Road","23","9"
"CF15 7LH","51.532481","-3.252524","Cardiff","Whitchurch and Tongwynlais","Bute Street,Merthyr Road,Mill Road","29","16"
"CF15 7LJ","51.532296","-3.252995","Cardiff","Whitchurch and Tongwynlais","Bute Street","7","3"
"CF15 7LL","51.533135","-3.253624","Cardiff","Whitchurch and Tongwynlais","Birch Hill,Wellington Street","23","9"
"CF15 7LN","51.532893","-3.252665","Cardiff","Whitchurch and Tongwynlais","Wyndham Street","24","13"
"CF15 7LP","51.533107","-3.252066","Cardiff","Whitchurch and Tongwynlais","Wellington Street,Wyndham Street","66","25"
"CF15 7LQ","51.531459","-3.248013","Cardiff","Whitchurch and Tongwynlais","Cae Lewis,Merthyr Road","60","25"
"CF15 7LR","51.531006","-3.247539","Cardiff","Whitchurch and Tongwynlais","Cae Lewis,Castell Coch View","44","23"
"CF15 7LS","51.530756","-3.247402","Cardiff","Whitchurch and Tongwynlais","Castle View,Greenmeadow Drive,Merthyr Road,Pantgwynlais","47","23"
"CF15 7LT","51.529967","-3.244656","Cardiff","Whitchurch and Tongwynlais","Castle View,Pantgwynlais","57","24"
"CF15 7LU","51.530734","-3.245210","Cardiff","Whitchurch and Tongwynlais","Greenmeadow Drive","86","39"
"CF15 7LW","51.529261","-3.243325","Cardiff","Whitchurch and Tongwynlais","Greenmeadow Drive,Pantgwynlais","70","37"
"CF15 7LX","51.529820","-3.244076","Cardiff","Whitchurch and Tongwynlais","Pantgwynlais","4","4"
"CF15 7LY","51.529294","-3.244436","Cardiff","Whitchurch and Tongwynlais","Castle View,Pantgwynlais","44","24"
"CF15 7LZ","51.531436","-3.251097","Cardiff","Whitchurch and Tongwynlais","Hermon Hill,Merthyr Road","4","2"
"CF15 7NE","51.529084","-3.238822","Cardiff","Whitchurch and Tongwynlais","Greenmeadow Drive,Merthyr Road,Village Way","",""
"CF15 7NG","51.529485","-3.250208","Cardiff","Whitchurch and Tongwynlais","Grant's Close","41","16"
"CF15 7NH","51.529906","-3.249455","Cardiff","Whitchurch and Tongwynlais","Iron Bridge Road","11","10"
"CF15 7NJ","51.529585","-3.249245","Cardiff","Whitchurch and Tongwynlais","Grant's Close,Iron Bridge Road,Pantgwynlais","73","32"
"CF15 7NL","51.531270","-3.251410","Cardiff","Whitchurch and Tongwynlais","Cross Street,Hermon Hill,Queen Street","82","34"
"CF15 7NN","51.532071","-3.253047","Cardiff","Whitchurch and Tongwynlais","Queen Street","33","19"
"CF15 7NP","51.530948","-3.252107","Cardiff","Whitchurch and Tongwynlais","Taff Street","7","3"
"CF15 7NQ","51.530608","-3.251089","Cardiff","Whitchurch and Tongwynlais","Clos Cae Wal,Cross Street","19","6"
"CF15 7NR","51.530633","-3.252142","Cardiff","Whitchurch and Tongwynlais","Market Street,Queen Street,Railway Terrace","27","14"
"CF15 7NS","51.531799","-3.252405","Cardiff","Whitchurch and Tongwynlais","Market Street,Railway Terrace","25","10"
"CF15 7NT","51.534699","-3.257905","Cardiff","Whitchurch and Tongwynlais","A4054,B4262,Heol-Yr-Ynys,Market Street,Merthyr Road,Northern Avenue","11","3"
"CF15 7NU","51.530824","-3.251902","Cardiff","Whitchurch and Tongwynlais","Taff Street","13","5"
"CF15 7NX","51.530249","-3.251065","Cardiff","Whitchurch and Tongwynlais","Clos Cae Wal","13","6"
"CF15 7WE","51.535913","-3.261183","Cardiff","Pentyrch and St Fagans","Main Road","",""
"CF15 7YS","51.535913","-3.261183","Cardiff","Pentyrch and St Fagans","Main Road","",""
"CF15 7YT","51.535913","-3.261183","Cardiff","Pentyrch and St Fagans","Main Road","",""
"CF15 7YZ","51.538007","-3.247053","Cardiff","Whitchurch and Tongwynlais","Castle Road,Heol-Y-Fforest","",""
"CF15 8AA","51.515465","-3.250314","Cardiff","Radyr","Station Road,Windsor Crescent","34","14"
"CF15 8AB","51.515977","-3.249550","Cardiff","Radyr","Station Road","58","44"
"CF15 8AD","51.515205","-3.249384","Cardiff","Radyr","King's Avenue","7","5"
"CF15 8AE","51.516366","-3.250973","Cardiff","Radyr","Windsor Crescent","52","19"
"CF15 8AF","51.518699","-3.255706","Cardiff","Radyr","Drysgol Road,Heol Isaf,Longwood Drive,Maes Yr Awel","25","9"
"CF15 8AG","51.516819","-3.252397","Cardiff","Radyr","Heol Isaf","30","11"
"CF15 8AH","51.515945","-3.251739","Cardiff","Radyr","Heol Isaf,Station Road","29","12"
"CF15 8AJ","51.518111","-3.256021","Cardiff","Radyr","Heol Isaf","35","1"
"CF15 8AL","51.516116","-3.252493","Cardiff","Radyr","Heol Isaf","36","12"
"CF15 8AN","51.520628","-3.257763","Cardiff","Radyr","Cwrt-Ty-Mynydd,Maes Yr Awel","48","20"
"CF15 8AP","51.517886","-3.254372","Cardiff","Radyr","Heol Isaf","21","12"
"CF15 8AQ","51.522469","-3.257986","Cardiff","Radyr","Min-Y-Coed,Tymynydd Close","77","34"
"CF15 8AR","51.521534","-3.258797","Cardiff","Radyr","Cilfedw","17","5"
"CF15 8AS","51.523013","-3.257526","Cardiff","Radyr","Brynhyfryd,Heol Isaf,Tymynydd Close","58","22"
"CF15 8AT","51.520962","-3.259329","Cardiff","Radyr","Maes Yr Awel","7","5"
"CF15 8AU","51.521090","-3.259087","Cardiff","Radyr","Maes Yr Awel","8","6"
"CF15 8AW","51.521021","-3.258869","Cardiff","Radyr","Maes Yr Awel","7","6"
"CF15 8AX","51.520762","-3.258689","Cardiff","Radyr","Maes Yr Awel","7","5"
"CF15 8AY","51.520635","-3.258772","Cardiff","Radyr","Maes Yr Awel","10","6"
"CF15 8AZ","51.523956","-3.259325","Cardiff","Radyr","Ael-Y-Bryn","55","21"
"CF15 8BA","51.524081","-3.257728","Cardiff","Radyr","Bryn Derwen,Brynhyfryd","8","4"
"CF15 8BB","51.524505","-3.258475","Cardiff","Radyr","Ael-Y-Bryn,Maes-Y-Bryn","15","6"
"CF15 8BD","51.521145","-3.258195","Cardiff","Radyr","Cwrt-Ty-Mynydd","31","18"
"CF15 8BE","51.523380","-3.261846","Cardiff","Radyr","Bryn Golwg","10","7"
"CF15 8BF","51.510872","-3.245908","Cardiff","Radyr","Fisher Hill Way","22","6"
"CF15 8BG","51.523286","-3.260603","Cardiff","Radyr","Graig Lwyd","69","29"
"CF15 8BH","51.517537","-3.255040","Cardiff","Radyr","The Uplands","24","10"
"CF15 8BJ","51.523063","-3.263797","Cardiff","Radyr","Cefn Coch","56","30"
"CF15 8BL","51.514264","-3.253293","Cardiff","Radyr","Plymouth Drive","36","13"
"CF15 8BP","51.515303","-3.252831","Cardiff","Radyr","Plymouth Drive,The Green,Windsor Road","16","7"
"CF15 8BQ","51.515288","-3.255122","Cardiff","Radyr","Windsor Avenue,Windsor Road","80","33"
"CF15 8BR","51.515609","-3.253690","Cardiff","Radyr","The Green","77","32"
"CF15 8BS","51.516972","-3.258224","Cardiff","Radyr","Drysgol Road","20","8"
"CF15 8BT","51.517051","-3.255056","Cardiff","Radyr","Drysgol Road","44","22"
"CF15 8BU","51.516527","-3.255301","Cardiff","Radyr","Drysgol Road","8","7"
"CF15 8BW","51.518086","-3.257448","Cardiff","Radyr","Windsor Avenue","63","24"
"CF15 8BX","51.519421","-3.259646","Cardiff","Radyr","Park Road,Windsor Avenue,Windsor Close","43","16"
"CF15 8BY","51.519962","-3.259503","Cardiff","Radyr","Windsor Avenue","57","21"
"CF15 8BZ","51.520301","-3.259743","Cardiff","Radyr","Windsor Close","15","6"
"CF15 8DA","51.520158","-3.261267","Cardiff","Radyr","Windsor Grove","8","3"
"CF15 8DB","51.517457","-3.260832","Cardiff","Radyr","Dan-Y-Bryn Avenue,Park Road","39","13"
"CF15 8DD","51.519348","-3.263060","Cardiff","Radyr","Dan-Y-Bryn Avenue,Dan-Y-Bryn Close","109","48"
"CF15 8DE","51.519981","-3.261853","Cardiff","Radyr","Clos Brynmellyn","6","3"
"CF15 8DF","51.518590","-3.257404","Cardiff","Radyr","Park Road","4","4"
"CF15 8DG","51.518205","-3.259815","Cardiff","Radyr","Park Road","24","11"
"CF15 8DH","51.516696","-3.254599","Cardiff","Radyr","Drysgol Road","5","3"
"CF15 8DJ","51.519200","-3.262624","Cardiff","Radyr","Dan-Y-Bryn Close","13","6"
"CF15 8DL","51.519230","-3.264787","Cardiff","Radyr","Llwyn Bryn Melyn","5","2"
"CF15 8DN","51.517763","-3.264112","Cardiff","Radyr","Llwyn Drysgol","13","7"
"CF15 8DP","51.518502","-3.256450","Cardiff","Radyr","Park Road","25","19"
"CF15 8DQ","51.517940","-3.262719","Cardiff","Radyr","Dan-Y-Bryn Avenue,Drysgol Road,Llwyn Drysgol","52","23"
"CF15 8DR","51.511796","-3.246164","Cardiff","Radyr","Clos Maedref,Clos Tylaway,Fisher Hill Way,Junction Terrace","197","75"
"CF15 8DS","51.513569","-3.247639","Cardiff","Radyr","Clos Maedref","16","7"
"CF15 8DT","51.513664","-3.246402","Cardiff","Radyr","Nicholas Court","29","9"
"CF15 8DU","51.513300","-3.247646","Cardiff","Radyr","Clos Tylaway,Fisher Hill Way","26","7"
"CF15 8DW","51.513134","-3.250495","Cardiff","Radyr","Heol Isaf,King's Road,Rectory Close","75","28"
"CF15 8DX","51.508193","-3.250086","Cardiff","Radyr","Heol Isaf,Llantrisant Road","49","17"
"CF15 8DY","51.514589","-3.251515","Cardiff","Radyr","Heol Isaf","21","9"
"CF15 8DZ","51.512967","-3.250995","Cardiff","Radyr","Heol Isaf,Rectory Close","38","14"
"CF15 8EA","51.509753","-3.250489","Cardiff","Radyr","Heol Isaf","77","24"
"CF15 8EB","51.514762","-3.250467","Cardiff","Radyr","Heol Isaf,King's Avenue,King's Road,Taff Terrace","33","12"
"CF15 8ED","51.514153","-3.248548","Cardiff","Radyr","Junction Terrace","73","31"
"CF15 8EE","51.513465","-3.249798","Cardiff","Radyr","Taff Terrace","39","19"
"CF15 8EF","51.511160","-3.249302","Cardiff","Radyr","Lime Close,Woodfield Avenue","60","27"
"CF15 8EG","51.510939","-3.249729","Cardiff","Radyr","Lime Close","14","8"
"CF15 8EH","51.512088","-3.250783","Cardiff","Radyr","Radyr Farm Road","10","3"
"CF15 8EJ","51.514738","-3.247671","Cardiff","Radyr","Junction Terrace","15","4"
"CF15 8EL","51.511333","-3.254956","Cardiff","Radyr","Llantrisant Road,Radyr Farm Road","11","5"
"CF15 8EN","51.520816","-3.273651","Cardiff","Radyr","Pant Tawel Lane","4","2"
"CF15 8EP","51.517003","-3.263730","Cardiff","Radyr","Ffordd Las","29","15"
"CF15 8EQ","51.517170","-3.260708","Cardiff","Radyr","Drysgol Road","2","1"
"CF15 8ER","51.509873","-3.260291","Cardiff","Radyr","Llantrisant Road","4","2"
"CF15 8ES","51.517934","-3.266581","Cardiff","Radyr","Ffordd Las,Pant Tawel Lane","1","1"
"CF15 8ET","51.511902","-3.245461","Cardiff","Radyr","De Clare Drive,Goetre Fawr","180","78"
"CF15 8EU","51.511684","-3.244792","Cardiff","Radyr","Goetre Fawr","135","60"
"CF15 8EW","51.513858","-3.252575","Cardiff","Radyr","Rectory Close","4","1"
"CF15 8EX","51.525788","-3.264536","Cardiff","Radyr","Clos Y Gwyddfid,Ffordd Treforgan","88","27"
"CF15 8EY","51.525956","-3.263113","Cardiff","Radyr","Ffordd-Y-Berllan","74","22"
"CF15 8EZ","51.525122","-3.263753","Cardiff","Radyr","Maes Y Fioled","67","20"
"CF15 8FA","51.524867","-3.264943","Cardiff","Radyr","Maes Y Brialiu","54","19"
"CF15 8FB","51.525054","-3.267600","Cardiff","Radyr","Maes Yr Odyn","57","18"
"CF15 8FD","51.525596","-3.266491","Cardiff","Radyr","Bryn Calch","68","20"
"CF15 8FE","51.524151","-3.267085","Cardiff","Radyr","Heol Y Cwm,Maes Y Crofft,Maes Yr Odyn,Maes Yr Orchis","108","44"
"CF15 8FF","51.524488","-3.265840","Cardiff","Radyr","Maes Yr Orchis","71","23"
"CF15 8FG","51.524363","-3.269066","Cardiff","Radyr","Heol Y Cwm","83","27"
"CF15 8FH","51.523677","-3.269306","Cardiff","Radyr","Clos Y Mynydd","30","9"
"CF15 8FJ","51.524930","-3.269889","Cardiff","Radyr","Maes Y Gwair","40","13"
"CF15 8FL","51.526011","-3.267238","Cardiff","Radyr","Meadowfield Way","69","24"
"CF15 8FN","51.526012","-3.267930","Cardiff","Radyr","Meadowfield Way","49","16"
"CF15 8FP","51.527148","-3.264328","Cardiff","Radyr","Barnfield Drive,Clos Ysgallen,Meadowfield Way","30","9"
"CF15 8FQ","51.512756","-3.244663","Cardiff","Radyr","","",""
"CF15 8FR","51.526668","-3.264632","Cardiff","Radyr","Cuckoofield Close","51","18"
"CF15 8FS","51.516838","-3.253926","Cardiff","Radyr","Drysgol Road","",""
"CF15 8FT","51.526998","-3.263257","Cardiff","Radyr","Clos Ysgallen","57","21"
"CF15 8FU","51.511203","-3.242747","Cardiff","Radyr","Arudur Hen,De Clare Drive","",""
"CF15 8FX","51.510862","-3.243473","Cardiff","Radyr","Arudur Hen,Goetre Fawr","96","42"
"CF15 8FY","51.511831","-3.242879","Cardiff","Radyr","De Clare Drive,Maes Y Llech","207","88"
"CF15 8FZ","51.526725","-3.266839","Cardiff","Radyr","Bryn Calch,Caer Idwen","",""
"CF15 8GA","51.512238","-3.256119","Cardiff","Radyr","Drovers Way,Llantarnam Drive,Plas Y Mynach","180","56"
"CF15 8GB","51.512239","-3.252632","Cardiff","Radyr","Plas Y Mynach","93","32"
"CF15 8GD","51.512719","-3.259087","Cardiff","Radyr","Pilgrim Close","52","13"
"CF15 8GE","51.513058","-3.258419","Cardiff","Radyr","Stella Maris Close","30","9"
"CF15 8GF","51.512890","-3.256498","Cardiff","Radyr","Green Place","32","10"
"CF15 8GG","51.513617","-3.255797","Cardiff","Radyr","Drovers Way","113","34"
"CF15 8GH","51.510977","-3.252136","Cardiff","Radyr","Clos Parc Radyr","10","4"
"CF15 8GJ","51.512396","-3.242967","Cardiff","Radyr","Maes Y Llech","66","27"
"CF15 8GL","51.512020","-3.242870","Cardiff","Radyr","Maes Y Llech","33","17"
"CF15 8GN","51.527417","-3.264451","Cardiff","Radyr","Garth Isha","",""
"CF15 8GP","51.508911","-3.254457","Cardiff","Radyr","Burges Close","",""
"CF15 8GQ","51.509166","-3.254118","Cardiff","Radyr","Garth Isaf","",""
"CF15 8GR","51.508261","-3.252941","Cardiff","Radyr","Burges Close","",""
"CF15 8GS","51.508576","-3.252142","Cardiff","Radyr","Heol Roald Dahl","",""
"CF15 8GT","51.509433","-3.252670","Cardiff","Radyr","Heol Roald Dahl","",""
"CF15 8GU","51.510229","-3.252274","Cardiff","Radyr","Heol Roald Dahl,Heol Rufus,St Philbert Street","",""
"CF15 8GW","51.510460","-3.251704","Cardiff","Radyr","St Philbert Street","",""
"CF15 8GX","51.511314","-3.242433","Cardiff","Radyr","De Clare Drive","",""
"CF15 8HA","51.509959","-3.242180","Cardiff","Radyr","De Clare Drive","",""
"CF15 8HB","51.509825","-3.244597","Cardiff","Radyr","Fisher Hill Way,Woodfield Avenue","",""
"CF15 8HD","51.508546","-3.254908","Cardiff","Radyr","Clos Parc Radyr,Stryd sils ap Sion","",""
"CF15 8HE","51.508089","-3.254752","Cardiff","Radyr","","",""
"CF15 8HF","51.506976","-3.251191","Cardiff","Radyr","","",""
"CF15 8HG","51.507918","-3.253090","Cardiff","Radyr","","",""
"CF15 8HH","51.510128","-3.257459","Cardiff","Radyr","","",""
"CF15 8HJ","51.509268","-3.257190","Cardiff","Radyr","","",""
"CF15 8HL","51.509700","-3.258787","Cardiff","Radyr","","",""
"CF15 8HP","51.510531","-3.257629","Cardiff","Radyr","","",""
"CF15 8HQ","51.511111","-3.253033","Cardiff","Radyr","","",""
"CF15 8LA","51.537915","-3.263142","Cardiff","Pentyrch and St Fagans","A470,Main Road,Northern Avenue,Viaduct Road","",""
"CF15 8LB","51.529785","-3.259140","Cardiff","Radyr","B4262,Ffordd Treforgan,Heol-Yr-Ynys,Main Road,Ty-Nant Road","11","4"
"CF15 8LD","51.528795","-3.260020","Cardiff","Radyr","Gelynis Terrace North","22","12"
"CF15 8LE","51.528005","-3.260777","Cardiff","Radyr","Garth Close,Heol Syr Lewis,Ravensbrook","54","24"
"CF15 8LF","51.528761","-3.260711","Cardiff","Radyr","Garth Close","32","10"
"CF15 8LG","51.527883","-3.259592","Cardiff","Radyr","Heol Syr Lewis,Ty-Nant Road","33","14"
"CF15 8LH","51.525836","-3.259276","Cardiff","Radyr","","33","18"
"CF15 8LJ","51.526300","-3.258741","Cardiff","Radyr","Chapel Road,Heol Isaf,Ty-Nant Road","32","12"
"CF15 8LL","51.526149","-3.260250","Cardiff","Radyr","Chapel Road,Orchard Grove","49","22"
"CF15 8LN","51.526476","-3.261585","Cardiff","Radyr","","14","6"
"CF15 8LP","51.526609","-3.260090","Cardiff","Radyr","Springfield Gardens","34","14"
"CF15 8LQ","51.526933","-3.260070","Cardiff","Radyr","Springfield Gardens","37","18"
"CF15 8LR","51.526230","-3.261060","Cardiff","Radyr","Springfield Gardens","3","2"
"CF15 8LS","51.525826","-3.261020","Cardiff","Radyr","Orchard Grove","10","4"
"CF15 8LT","51.527717","-3.262485","Cardiff","Radyr","Garth Close,Ravensbrook","142","54"
"CF15 8LU","51.526040","-3.260406","Cardiff","Radyr","Chapel Road","4","3"
"CF15 8LW","51.531904","-3.257771","Cardiff","Pentyrch and St Fagans","B4262,Ty Nant Court,Ty-Nant Road","",""
"CF15 8LX","51.537273","-3.262634","Cardiff","Pentyrch and St Fagans","Main Road","",""
"CF15 8RA","51.522246","-3.259422","Cardiff","Radyr","Bryn Castell","18","9"
"CF15 8RB","51.522690","-3.260789","Cardiff","Radyr","Graig Hir","28","14"
"CF15 8RD","51.521975","-3.261245","Cardiff","Radyr","Cae'r Graig","27","15"
"CF15 8RE","51.520659","-3.262419","Cardiff","Radyr","Blaen-Y-Coed,Bryncoed,Cae'r Graig,Clos Brynmellyn,Graig Hir,Penrhos,Pentwyn","204","84"
"CF15 8RF","51.521185","-3.262780","Cardiff","Radyr","Coed-Y-Llyn","25","12"
"CF15 8RG","51.521510","-3.261059","Cardiff","Radyr","Cae'r Graig,Craig Castell","42","16"
"CF15 8RH","51.521037","-3.264044","Cardiff","Radyr","Bryncoed","51","18"
"CF15 8RJ","51.522600","-3.263294","Cardiff","Radyr","Heol Isaf,Penrhos,Pentwyn","92","36"
"CF15 8RL","51.520254","-3.264945","Cardiff","Radyr","Blaen-Y-Coed","72","30"
"CF15 8RN","51.521808","-3.265881","Cardiff","Radyr","Bryn Rhosyn","59","28"
"CF15 8RP","51.517858","-3.266089","Cardiff","Radyr","Bryn Derwen","13","6"
"CF15 8RQ","51.521828","-3.268231","Cardiff","Radyr","Hazel Tree Close,Pine Tree Close,Walnut Tree Close","77","25"
"CF15 8RR","51.520595","-3.270763","Cardiff","Radyr","Willow Tree Close","21","9"
"CF15 8RS","51.520081","-3.269278","Cardiff","Radyr","Hazel Tree Close,Pine Tree Close","131","57"
"CF15 8RT","51.520637","-3.268587","Cardiff","Radyr","Sycamore Tree Close","43","20"
"CF15 8RU","51.520140","-3.267939","Cardiff","Radyr","Maple Tree Close","51","15"
"CF15 8RW","51.519021","-3.267534","Cardiff","Radyr","Oak Tree Close","32","13"
"CF15 8RX","51.519235","-3.266055","Cardiff","Radyr","Ash Tree Close","56","22"
"CF15 8RY","51.518533","-3.266915","Cardiff","Radyr","Ash Tree Close,Chestnut Tree Close,Pant Tawel Lane","22","10"
"CF15 8RZ","51.518173","-3.265262","Cardiff","Radyr","Beech Tree Close,Pant Tawel Lane","25","12"
"CF15 8SW","51.522570","-3.266075","Cardiff","Radyr","Bryn Derwen,Bryn Rhosyn,Cae'r Graig","91","35"
"CF15 8SX","51.520928","-3.266592","Cardiff","Radyr","Walnut Tree Close","66","23"
"CF15 8XG","51.509033","-3.247184","Cardiff","Radyr","Heol Isaf","",""
"CF15 9AB","51.531848","-3.299896","Cardiff","Pentyrch and St Fagans","Troed-Y-Garth","79","24"
"CF15 9AD","51.530503","-3.299555","Cardiff","Pentyrch and St Fagans","Bronllwyn","",""
"CF15 9AE","51.536038","-3.262095","Cardiff","Pentyrch and St Fagans","Main Road","",""
"CF15 9AF","51.521206","-3.284862","Cardiff","Pentyrch and St Fagans","","",""
"CF15 9DR","51.520009","-3.327709","Cardiff","Pentyrch and St Fagans","Llys Dyfrig","23","9"
"CF15 9DS","51.519110","-3.326126","Cardiff","Pentyrch and St Fagans","Llys Teilo","18","6"
"CF15 9EJ","51.521452","-3.327405","Cardiff","Pentyrch and St Fagans","Maes-Y-Nant","84","31"
"CF15 9ET","51.520665","-3.327771","Cardiff","Pentyrch and St Fagans","Llys Illtyd,Maes-Y-Nant","40","13"
"CF15 9EU","51.519846","-3.327026","Cardiff","Pentyrch and St Fagans","Llys Dyfodwg,Llys Gwynno","14","5"
"CF15 9EW","51.519418","-3.325962","Cardiff","Pentyrch and St Fagans","Llys Dyfodwg","22","12"
"CF15 9GE","51.530159","-3.299819","Cardiff","Pentyrch and St Fagans","Bronllwyn,Heol-Y-Bryn","16","12"
"CF15 9HA","51.540770","-3.270257","Cardiff","Pentyrch and St Fagans","Heol Berry,Heol-Y-Nant,Llys Tripp","88","36"
"CF15 9HB","51.540839","-3.269711","Cardiff","Pentyrch and St Fagans","Heol Berry","89","38"
"CF15 9HD","51.539318","-3.268991","Cardiff","Pentyrch and St Fagans","Heol Berry,Heol Goch","3","3"
"CF15 9HE","51.540477","-3.271547","Cardiff","Pentyrch and St Fagans","Heol-Y-Nant","39","18"
"CF15 9HF","51.539551","-3.273987","Cardiff","Pentyrch and St Fagans","Nant Y Garth","25","10"
"CF15 9HG","51.539422","-3.272628","Cardiff","Pentyrch and St Fagans","Heol-Y-Nant,Nant Y Garth","12","6"
"CF15 9HH","51.544583","-3.275166","Cardiff","Pentyrch and St Fagans","Main Road","43","18"
"CF15 9HJ","51.546856","-3.276210","Cardiff","Pentyrch and St Fagans","Gwaelod-Y-Garth Road,Main Road,School Lane,The Willowford","106","43"
"CF15 9HL","51.544119","-3.274792","Cardiff","Pentyrch and St Fagans","Main Road","11","6"
"CF15 9HN","51.543043","-3.272037","Cardiff","Pentyrch and St Fagans","School Lane","25","9"
"CF15 9HP","51.545747","-3.275645","Cardiff","Pentyrch and St Fagans","Main Road","15","6"
"CF15 9HQ","51.546745","-3.276452","Cardiff","Pentyrch and St Fagans","Main Road","7","3"
"CF15 9HR","51.547111","-3.276708","Cardiff","Pentyrch and St Fagans","Main Road","13","8"
"CF15 9HS","51.547373","-3.278244","Cardiff","Pentyrch and St Fagans","","35","15"
"CF15 9HT","51.546429","-3.277366","Cardiff","Pentyrch and St Fagans","","3","2"
"CF15 9HU","51.547010","-3.277743","Cardiff","Pentyrch and St Fagans","","6","2"
"CF15 9HW","51.549101","-3.276403","Cardiff","Pentyrch and St Fagans","Garth Olwg","66","30"
"CF15 9HX","51.550099","-3.277238","Cardiff","Pentyrch and St Fagans","","15","7"
"CF15 9HY","51.548203","-3.277171","Cardiff","Pentyrch and St Fagans","Main Road","4","3"
"CF15 9HZ","51.548561","-3.277282","Cardiff","Pentyrch and St Fagans","Main Road","6","3"
